Customer_ID,Name,Age,Gender,Purchase_Platform,Category,Subcategory,Price,Quantity,Total_Spent,Purchase_Date,Region,Payment_Method
CUST19684,Liam Brown,33,Female,Online,Accessories,Swim Goggles,373.55,2,747.1,4/6/2024,South America,Debit Card
CUST45533,Ava Harris,38,Other,Online,Equipment,Dumbbells,186.53,1,186.53,10/12/2024,South America,PayPal
CUST69612,Emma White,48,Other,In-Store,Equipment,Tennis Racket,76.33,4,305.32,9/19/2024,Europe,Cash
CUST90595,Liam Johnson,53,Other,Online,Apparel,Track Suit,162.96,3,488.88,1/9/2024,Australia,Credit Card
CUST44416,Ava Martin,52,Male,Online,Apparel,Track Suit,20.91,3,62.73,7/29/2024,Asia,Apple Pay
CUST94406,John Brown,48,Female,Online,Accessories,Wrist Bands,115.94,1,115.94,7/23/2024,South America,Google Pay
CUST33821,Emily Taylor,63,Male,In-Store,Equipment,Dumbbells,438.05,3,1314.15,3/3/2024,Asia,Debit Card
CUST89130,Michael Jackson,23,Female,In-Store,Apparel,Compression Wear,387.85,3,1163.55,10/4/2024,Australia,Debit Card
CUST67653,Ava Taylor,51,Other,In-Store,Footwear,Running Shoes,132.59,4,530.36,9/2/2024,Australia,Google Pay
CUST28100,Michael Jackson,56,Male,Online,Apparel,Training Shorts,392.63,4,1570.52,11/14/2024,Australia,Debit Card
CUST85666,Michael Smith,51,Male,In-Store,Apparel,Compression Wear,427.32,5,2136.6,11/27/2024,Asia,Google Pay
CUST48217,Liam Thomas,32,Male,Online,Equipment,Dumbbells,34.78,3,104.34,4/7/2024,Asia,PayPal
CUST10220,Emily Brown,56,Other,Online,Accessories,Gym Gloves,144.9,3,434.7,7/10/2024,North America,PayPal
CUST38981,Emma Thomas,19,Male,In-Store,Outdoor Recreation,Fishing Rod,230.86,3,692.58,4/14/2024,Asia,Credit Card
CUST33880,Noah White,27,Male,In-Store,Accessories,Knee Support,433.38,2,866.76,7/20/2024,Europe,Credit Card
CUST84037,Emma Johnson,20,Other,In-Store,Outdoor Recreation,Hiking Backpack,313.82,1,313.82,10/25/2024,Asia,Cash
CUST90768,John Johnson,63,Other,Online,Apparel,Track Suit,191.17,4,764.68,7/12/2024,North America,Apple Pay
CUST65285,Emily Thomas,63,Male,In-Store,Outdoor Recreation,Camping Tent,111.37,4,445.48,1/2/2024,South America,Apple Pay
CUST25606,Emma Johnson,44,Male,In-Store,Outdoor Recreation,Cycling Helmet,234.25,3,702.75,4/18/2024,North America,PayPal
CUST75828,John Johnson,19,Male,In-Store,Equipment,Cricket Bat,69.78,4,279.12,5/28/2024,Asia,PayPal
CUST61447,Liam Taylor,36,Other,Online,Accessories,Knee Support,287.87,2,575.74,11/4/2024,South America,PayPal
CUST75685,Emily Jackson,23,Male,Online,Gymnastics,Balance Beam,421.45,5,2107.25,10/18/2024,South America,PayPal
CUST80429,Michael Smith,27,Other,Online,Footwear,Basketball Shoes,86.37,1,86.37,8/4/2024,South America,Apple Pay
CUST48694,Liam Johnson,32,Other,In-Store,Outdoor Recreation,Fishing Rod,26.29,4,105.16,4/9/2024,Australia,Cash
CUST16686,Daniel Taylor,18,Other,In-Store,Footwear,Football Boots,307.8,1,307.8,4/28/2024,Europe,Debit Card
CUST47380,Olivia Thomas,20,Female,Online,Gymnastics,Gym Rings,167.33,3,501.99,10/12/2024,Australia,Apple Pay
CUST34954,John Martin,26,Female,In-Store,Accessories,Gym Gloves,79.78,1,79.78,10/9/2024,Europe,Credit Card
CUST90297,Liam Smith,34,Female,In-Store,Equipment,Tennis Racket,442.28,2,884.56,2/11/2024,Australia,PayPal
CUST25132,Noah Thomas,25,Other,In-Store,Outdoor Recreation,Camping Tent,361.37,4,1445.48,8/31/2024,Australia,Debit Card
CUST89621,Daniel Taylor,23,Male,In-Store,Equipment,Badminton Racket,308.73,3,926.19,1/23/2024,South America,PayPal
CUST75023,Sophia Brown,55,Female,Online,Outdoor Recreation,Cycling Helmet,481.74,2,963.48,2/24/2024,South America,Google Pay
CUST60830,Liam Taylor,52,Male,In-Store,Equipment,Tennis Racket,327.83,5,1639.15,3/24/2024,Australia,Google Pay
CUST89196,Liam Anderson,55,Female,Online,Apparel,Sports T-Shirt,335.64,1,335.64,11/10/2024,Australia,Google Pay
CUST39250,Liam Smith,53,Male,Online,Outdoor Recreation,Camping Tent,440.13,1,440.13,10/23/2024,South America,Debit Card
CUST15060,Ava Anderson,40,Male,In-Store,Footwear,Basketball Shoes,395.87,1,395.87,9/11/2024,North America,Credit Card
CUST82182,Emma Brown,31,Female,In-Store,Equipment,Tennis Racket,161.29,4,645.16,9/21/2024,Asia,Google Pay
CUST29856,Liam Anderson,35,Female,In-Store,Equipment,Dumbbells,210.65,5,1053.25,1/22/2024,South America,Apple Pay
CUST27891,Ava Jackson,64,Female,In-Store,Apparel,Sports T-Shirt,368.65,4,1474.6,5/18/2024,Asia,Apple Pay
CUST32720,Ava Johnson,20,Male,Online,Footwear,Running Shoes,375.1,3,1125.3,12/22/2024,South America,Apple Pay
CUST74387,Olivia Thomas,61,Female,In-Store,Gymnastics,Pommel Horse,112.37,2,224.74,8/12/2024,South America,Credit Card
CUST60958,John Thomas,26,Male,Online,Footwear,Running Shoes,273.4,2,546.8,9/13/2024,Australia,Cash
CUST28318,Daniel Smith,36,Male,In-Store,Equipment,Tennis Racket,490.17,2,980.34,1/22/2024,North America,Google Pay
CUST32200,Emily Taylor,49,Other,Online,Accessories,Gym Gloves,445.78,2,891.56,8/12/2024,South America,Cash
CUST30847,Michael Anderson,30,Other,Online,Footwear,Hiking Boots,250.31,1,250.31,10/23/2024,Asia,Apple Pay
CUST35453,Emma Taylor,26,Female,Online,Apparel,Training Shorts,106.63,5,533.15,7/10/2024,Europe,PayPal
CUST20411,Emma White,24,Male,Online,Footwear,Football Boots,482.33,1,482.33,2/17/2024,Australia,Cash
CUST84221,Ava Johnson,51,Male,Online,Equipment,Cricket Bat,368.24,1,368.24,4/13/2024,Australia,Credit Card
CUST17871,Noah Thomas,35,Other,Online,Footwear,Hiking Boots,474.03,4,1896.12,6/24/2024,North America,Credit Card
CUST10552,Michael Jackson,30,Other,Online,Outdoor Recreation,Camping Tent,177.59,5,887.95,7/31/2024,South America,Apple Pay
CUST94559,Michael Martin,30,Female,Online,Accessories,Swim Goggles,215.62,3,646.86,10/15/2024,South America,Credit Card
CUST56160,Sophia Johnson,43,Male,In-Store,Accessories,Swim Goggles,404.45,2,808.9,3/22/2024,Australia,Google Pay
CUST52768,Michael Jackson,34,Other,In-Store,Gymnastics,Parallel Bars,137.6,1,137.6,3/10/2024,Europe,Debit Card
CUST79526,Sophia Harris,18,Other,Online,Accessories,Wrist Bands,386.56,4,1546.24,10/18/2024,South America,Google Pay
CUST25600,Emily Johnson,55,Other,In-Store,Apparel,Training Shorts,129.62,2,259.24,5/19/2024,Asia,PayPal
CUST63618,Liam Martin,40,Other,In-Store,Accessories,Wrist Bands,470.12,4,1880.48,9/17/2024,Australia,Cash
CUST67372,Emily Thomas,51,Male,Online,Apparel,Training Shorts,168.73,4,674.92,4/22/2024,Australia,Credit Card
CUST91694,Liam Johnson,34,Other,In-Store,Apparel,Compression Wear,36.28,5,181.4,6/22/2024,North America,Google Pay
CUST25342,Ava Jackson,57,Other,In-Store,Footwear,Running Shoes,456.75,3,1370.25,7/6/2024,South America,Debit Card
CUST22064,Noah Anderson,52,Other,Online,Outdoor Recreation,Fishing Rod,37.5,1,37.5,1/17/2024,Australia,Google Pay
CUST47626,Daniel Johnson,18,Male,In-Store,Gymnastics,Gym Rings,378.35,3,1135.05,11/18/2024,Australia,Credit Card
CUST59439,Michael Taylor,51,Male,Online,Apparel,Track Suit,410.03,2,820.06,7/10/2024,South America,Debit Card
CUST79694,Olivia Johnson,61,Male,Online,Apparel,Compression Wear,169.99,2,339.98,9/30/2024,Europe,Apple Pay
CUST43526,John Smith,44,Female,Online,Apparel,Compression Wear,233.97,1,233.97,10/25/2024,Australia,Google Pay
CUST14391,Olivia Smith,50,Female,In-Store,Outdoor Recreation,Fishing Rod,139.69,4,558.76,4/4/2024,Australia,PayPal
CUST49139,Ava Brown,46,Female,Online,Apparel,Training Shorts,427.86,4,1711.44,6/27/2024,South America,Google Pay
CUST41388,Emma Johnson,61,Male,Online,Accessories,Swim Goggles,144.99,4,579.96,10/4/2024,Europe,Google Pay
CUST67141,John Anderson,26,Male,In-Store,Apparel,Sports T-Shirt,340.82,2,681.64,11/2/2024,Europe,PayPal
CUST58042,Emma Thomas,52,Male,In-Store,Footwear,Basketball Shoes,458.42,5,2292.1,1/3/2024,Australia,Cash
CUST80536,Olivia Harris,61,Other,Online,Equipment,Badminton Racket,181.71,5,908.55,11/1/2024,Australia,Apple Pay
CUST70645,Noah Johnson,34,Other,In-Store,Accessories,Gym Gloves,245.37,5,1226.85,10/7/2024,Europe,PayPal
CUST61789,Liam White,28,Other,In-Store,Apparel,Compression Wear,461.15,3,1383.45,9/10/2024,North America,Credit Card
CUST72087,Michael Brown,40,Male,In-Store,Accessories,Wrist Bands,295.9,1,295.9,5/13/2024,North America,Credit Card
CUST96017,Emily White,51,Male,In-Store,Apparel,Compression Wear,134.36,3,403.08,1/17/2024,Asia,Google Pay
CUST62725,Michael Martin,28,Other,Online,Accessories,Wrist Bands,53.53,2,107.06,10/9/2024,North America,Debit Card
CUST70659,Noah Taylor,55,Female,In-Store,Equipment,Cricket Bat,381.39,5,1906.95,2/27/2024,South America,Cash
CUST20853,Olivia Harris,29,Other,In-Store,Apparel,Training Shorts,198.45,1,198.45,1/6/2024,South America,Credit Card
